,Percent Error,kNN Score,kNN Std,DTree Score,DTree Std,SVR Score,SVR Std
4.75,4.75,0.9984636081454322,6.764257582638478e-05,0.9971882031631241,0.00020675103982177936,0.998237377819507,0.00025325377550704166
5.0,5.0,0.9983630146714824,0.00010550176370790409,0.9968755130361006,0.00029159583316765115,0.9981117009231992,0.00025148413642431554
5.5,5.5,0.9982710916657576,6.366667142049212e-05,0.9965480999290832,0.00039136333689858107,0.9979702833917704,0.0002663836367383199
6.0,6.0,0.9981367897297033,0.0001108136893456779,0.9961006100897064,0.0002768919187406953,0.9978648484979423,0.0003313406287802787
6.5,6.5,0.9979769197171546,9.258491800481693e-05,0.9959437720969972,0.00022649030243509073,0.9976348267222377,0.00041187122239743745
7.0,7.0,0.9977885891297401,7.74108318763046e-05,0.9954839613187559,0.00014388562170054937,0.9973996399519447,0.00038385219014034684
7.5,7.5,0.9975033172973781,0.00012509758560783014,0.9945500454298264,0.0004563412310287554,0.9971181395088695,0.0004057981164292865
8.0,8.0,0.9972733029445952,0.00013593917496806704,0.9941407502782388,0.0005180422443224514,0.9967869163977052,0.0003737287982035664
8.5,8.5,0.9969734484737997,0.00022223122665311295,0.9935944613457138,0.0003059042870767829,0.9963099792449185,0.0003738299901564056
9.0,9.0,0.9967204396661543,0.000157555963492056,0.9932724316824599,0.00037412441965139717,0.9960192044237479,0.00040254694685028914
10.0,10.0,0.9963803791544837,8.646212993502236e-05,0.9918026603305288,0.0002786944098042289,0.9954869744658099,0.0005057436204170263
13.0,13.0,0.9956823340544503,0.00020272971778304363,0.9902331791908809,0.00041944651342424867,0.9947583078183045,0.00043266950541457407
17.0,17.0,0.9946526732802123,0.00018617683794468635,0.9881572071981376,0.0008944395304158905,0.9930981127672205,0.0006503546517665024
20.0,20.0,0.9931407722057456,0.0003994631227444191,0.9856313834767715,0.000743745793737566,0.990354631041888,0.0015975351592475292
