,Percent Error,kNN Score,kNN Std,DTree Score,DTree Std,SVR Score,SVR Std
3.0,3.0,0.9991910458618971,6.0650030647877245e-05,0.9988590840182485,3.1386711007623004e-05,0.9994504751611476,6.4852059899796e-05
3.25,3.25,0.9991575181314397,4.826958614836608e-05,0.9987266825421941,0.00012959133525912266,0.9993807696176887,8.345374707091353e-05
3.5,3.5,0.9991159090004403,6.424370397835505e-05,0.9985740297000627,7.093876260606004e-05,0.9993354371890926,9.173043286800574e-05
3.75,3.75,0.9990491100026272,6.897640745183724e-05,0.9984668784339672,0.00013319320697597494,0.9992645484319235,8.358182485165621e-05
4.0,4.0,0.999003362199398,7.997834901062213e-05,0.9982774440539852,6.301101533580565e-05,0.9991812394923238,9.122081033100921e-05
4.25,4.25,0.9989259111483288,6.688265576568011e-05,0.998131538914223,0.00016266737535594497,0.9991172583641292,9.801303389111796e-05
4.5,4.5,0.9988522519293911,5.929630184212458e-05,0.9977522450101196,0.00013543870681171833,0.9990231235706715,9.373254692868652e-05
4.75,4.75,0.9987510171807596,7.793854749909735e-05,0.9976143349398295,0.00011834513336266572,0.9989370184951621,0.00011522159630810034
5.0,5.0,0.9986523327576439,6.325539069087878e-05,0.9971925663563532,0.00011846406334255066,0.9988468151974941,0.00011462172930105302
5.5,5.5,0.99852987134068,5.258224682090891e-05,0.9968565176748824,7.208117383071686e-05,0.9987424674817873,0.00012172363602649133
6.0,6.0,0.9983998178158086,7.555457806877433e-05,0.9966159858534684,0.0001349631104458619,0.9986169095721943,0.00011499582549021233
6.5,6.5,0.9982414048344438,6.557054832471809e-05,0.996292020495064,0.00015147187412636342,0.9984576679127117,8.884938542030884e-05
7.0,7.0,0.9980719424667261,6.691571948213551e-05,0.9956812991629065,0.00019263738800327757,0.9982059345300497,9.344451218319533e-05
7.5,7.5,0.9977827879350404,9.298977093751585e-05,0.9951220629389577,0.0002345156806438661,0.997910188703921,0.00011798144404955636
8.0,8.0,0.9975637558399972,2.4730990867748964e-05,0.9945308729362374,0.00026297634333638596,0.9976253782414599,0.000110495746571865
8.5,8.5,0.997266426813072,7.56435298345545e-05,0.9940681922467114,0.0003915255382969824,0.9973345092215385,0.00017272717669153346
9.0,9.0,0.996944999186503,0.0001195004082334542,0.9933511215582197,0.0002677859254947128,0.9969887567044282,0.00015003751543336846
10.0,10.0,0.9965906610053015,0.0001991689516181263,0.9923673318989159,0.00024483670648184125,0.9965372983046714,0.00010053474755219272
13.0,13.0,0.996011583872367,0.00022633318336746355,0.9913347113757094,0.0003170840900402446,0.9957563071914788,0.00015757056108888442
17.0,17.0,0.9950415072306962,0.00012046970534007979,0.9891101255218624,0.00034210530374594874,0.9944534086934181,0.0001724517762072411
20.0,20.0,0.9938250994918857,0.00016819416351207815,0.986521572808047,0.0006546103267340973,0.9928077345139222,0.0002498732267885519
