,TrainNegPercent,TestNegPercent,CVNegPercent,TrainNegRMSErr,TestNegRMSErr,CVNegRMSErr,TrainNegMAErr,TestNegMAErr,CVNegMAErr
4.25,-10.1864929669,-97.9600991638,-14.1446660446,-567.019673576,-3914.4194733,-723.850491101,-231.673193693,-2886.07380155,-343.438829694
4.5,-10.3159204974,-98.0963560491,-14.2114515345,-567.996197323,-3917.56036534,-725.313210728,-233.453419693,-2886.55802047,-344.604621245
4.75,-10.354194803,-98.1387343998,-14.2518564229,-569.431024916,-3918.54317945,-727.644350699,-234.122300153,-2886.7086213,-345.955876648
5.0,-10.3815211647,-97.9941355988,-14.2793095455,-573.60438529,-3915.20132351,-730.963771213,-235.829485489,-2886.19475753,-347.281291504
5.5,-10.4878368369,-98.2212740731,-14.3452609868,-570.83519043,-3920.4654694,-732.381869107,-235.964598498,-2887.00194425,-349.119322138
6.0,-10.6253834493,-98.3466193541,-14.3639638764,-570.372656627,-3923.40505529,-733.16128581,-237.347166475,-2887.44738638,-349.998292215
6.5,-10.7823720972,-98.4201979811,-14.4120090266,-573.948905583,-3925.1420449,-733.934278566,-239.796620396,-2887.70886428,-351.497411151
7.0,-10.8718155432,-98.3195768522,-14.4588844706,-577.641340241,-3922.76877974,-736.516609993,-243.106952364,-2887.35128488,-353.740048768
7.5,-10.9281699164,-98.1383130908,-14.5938635592,-583.988692351,-3918.53339484,-742.409982773,-246.061790495,-2886.70712408,-356.9802097
8.0,-11.1609880431,-98.4044598221,-14.7488551611,-584.292918356,-3924.7698,-746.175137521,-249.029663568,-2887.65293526,-360.604721243
8.5,-11.2289963891,-98.3432033802,-14.8473845003,-591.173678276,-3923.32461876,-750.208140216,-253.247703584,-2887.43524697,-363.357259639
9.0,-11.2519186788,-98.2656330251,-15.0438805274,-594.312633877,-3921.50296327,-754.332887164,-255.419504943,-2887.15958358,-367.130702218
